,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
SALL2,0.0,0.0,0.0,-0.000567379668502486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAJIN,0.0,0.0,0.0,6.69665691405327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDN12,0.0,0.0,0.0,-0.002006546874005797,0.0,0.0,0.0,0.0,-0.006393512977515578,0.0,-0.002900725239011908,0.0,0.0,0.0,0.0
NAP1L5,0.0,0.0,0.0,-0.003142103626060266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001863524792194855,-0.002540355191786674
RMI1,0.0,0.0,0.0,-0.0018014672880967975,0.0037878787878788314,0.0,0.0,-0.005310254440276641,0.0,0.0,0.0,0.0,-0.003202927376981918,0.0,-0.0033180724101882922
C2orf76,0.0,0.0,0.0,-0.0019178098937429142,0.0,0.0,0.0,0.0,0.0,-0.006387743510233315,0.0,-0.0022284780098737514,0.0,-0.006619311689886307,-0.0051052538121467254
YEATS4,0.0,0.0,0.0,-0.0016516992270888607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004932741020718012
RAB42,0.0,0.0,0.0,-0.0022802448608984114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX4,0.0,0.0,0.0,0.06028450855202575,0.0,-0.0004994713987786042,0.0,0.0,-0.0021560130504018615,0.0,0.0,0.0,0.0,0.0,0.0
GPR84,0.0,0.0,0.0,-0.0009709996791613872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP24A1,0.0,0.0,0.0,-0.0007605863621471241,0.0,0.0,0.0,0.0,0.0,0.0,-0.001220827648593589,0.0,-0.0033776598725350844,0.0,0.0
LRRC75B,0.0,0.0,0.0,0.020607834521732024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002182343277426774
ZFP2,0.0,0.0,0.0,-0.0009842359514109394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFL1,0.0,0.0,0.0,0.06465008757339029,0.0,0.011507416821476315,0.0,-0.016243484616006693,0.0,0.0,0.0,-0.001261483665813988,0.0,0.0,0.0
TMEM238L,0.0,0.0,0.0,-0.0003933584681848901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA14,0.0,0.0,0.0,-0.0016595759271996993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC7A11,0.0,0.0,0.0,-0.0010051185324143237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFF2,0.0,0.0,0.0,-0.0003618885966618499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCTN2,0.0,0.0,0.0,-0.001935950371501754,0.0,0.00746916471118539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORO2A,0.0,0.0,0.0,-0.0012200443953084414,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033989870122947924,0.0,0.0,0.0,0.0
ATG14,0.0,0.0,0.0,-0.004162948060336053,-0.002382948335817199,0.013530965600753293,0.0,0.0,0.0,-0.008953720113310883,-0.003769992844814905,0.0,-0.006827147990428367,0.0,0.0
